City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
159,Villa Guerrero,MX,74.73,overcast clouds,18.8667,-99.65,Ixtapan de la Sal Marriott Hotel & Spa
160,Truckee,US,53.62,overcast clouds,39.328,-120.1833,Truckee Donner Lodge
161,San Quintin,MX,60.53,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
163,Ndende,GA,72.64,overcast clouds,-2.4008,11.3581,
165,Richards Bay,ZA,66.31,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
166,Merei,RO,52.86,overcast clouds,45.1333,26.6833,Pension Casa Cu Tei
168,Abu Kamal,SY,59.83,clear sky,34.4506,40.9171,محطة التلفاز
169,Port Moresby,PG,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
171,Chuy,UY,62.04,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
172,Sao Gabriel Da Cachoeira,BR,72.43,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
173,Filingue,NE,81.19,overcast clouds,14.3521,3.3168,
175,Quelimane,MZ,80.55,few clouds,-17.8786,36.8883,Hotel Flamingo
176,Casablanca,MA,64.62,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
177,Vila Franca Do Campo,PT,61.21,few clouds,37.7167,-25.4333,Pestana Bahia Praia
178,Makakilo City,US,80.92,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
179,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
180,Riyadh,SA,80.74,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
182,Yuncheng,CN,56.21,overcast clouds,35.0231,110.9928,晋州快捷酒店
184,Hobbs,US,82.99,clear sky,32.7026,-103.136,Best Western Executive Inn
186,Esmeraldas,BR,67.24,clear sky,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
187,Port Elizabeth,ZA,57.49,clear sky,-33.918,25.5701,39 On Nile Guest House
188,Moindou,NC,80.73,few clouds,-21.6924,165.677,Equi-lodge de Moindou
190,Shambu,ET,56.55,light rain,9.5667,37.1,Wabe Hotel
192,San Policarpo,PH,83.37,broken clouds,12.1791,125.5072,Agapita M. Nicart
194,Soyo,AO,77.13,overcast clouds,-6.1349,12.3689,Hotel Mpampa
196,Lorengau,PG,84.94,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
197,Tafresh,IR,52.45,light rain,34.692,50.013,Pardisan Hotel
198,Maputo,MZ,69.48,broken clouds,-25.9653,32.5892,Pestana Rovuma
